Make,Duty
FORD,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,"Heavy Duty (GVWR>10,000 lbs)"
GMC,"Heavy Duty (GVWR>10,000 lbs)"
DODGE,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,"Heavy Duty (GVWR>10,000 lbs)"
AUTOCAR,"Heavy Duty (GVWR>10,000 lbs)"
FREIGHTLINER,"Heavy Duty (GVWR>10,000 lbs)"
KENWORTH,"Heavy Duty (GVWR>10,000 lbs)"
MACK,"Heavy Duty (GVWR>10,000 lbs)"
MERCEDES-BENZ,"Heavy Duty (GVWR>10,000 lbs)"
MOTOR COACH INDUSTRIES,"Heavy Duty (GVWR>10,000 lbs)"
PETERBILT,"Heavy Duty (GVWR>10,000 lbs)"
PREVOST,"Heavy Duty (GVWR>10,000 lbs)"
TRANSPORTATION MFG CORP.,"Heavy Duty (GVWR>10,000 lbs)"
WESTERN STAR,"Heavy Duty (GVWR>10,000 lbs)"
WHITE,"Heavy Duty (GVWR>10,000 lbs)"
BLUE BIRD,"Heavy Duty (GVWR>10,000 lbs)"
EAGLE TRANSIT BUSES,"Heavy Duty (GVWR>10,000 lbs)"
HENDRICKSON,"Heavy Duty (GVWR>10,000 lbs)"
OSHKOSH MOTOR TRUCK CO.,"Heavy Duty (GVWR>10,000 lbs)"
VOLVO,"Heavy Duty (GVWR>10,000 lbs)"
HINO,"Heavy Duty (GVWR>10,000 lbs)"
MARMON HERRINGTON,"Heavy Duty (GVWR>10,000 lbs)"
GILLIG,"Heavy Duty (GVWR>10,000 lbs)"
ISUZU,"Heavy Duty (GVWR>10,000 lbs)"
IVECO,"Heavy Duty (GVWR>10,000 lbs)"
SEAGRAVE FIRE APPARATUS,"Heavy Duty (GVWR>10,000 lbs)"
ROADMASTER RAIL,"Heavy Duty (GVWR>10,000 lbs)"
UD TRUCKS,"Heavy Duty (GVWR>10,000 lbs)"
CRANE CARRIER,"Heavy Duty (GVWR>10,000 lbs)"
GIANT,"Heavy Duty (GVWR>10,000 lbs)"
JOHN DEERE,"Heavy Duty (GVWR>10,000 lbs)"
MITSUBISHI FUSO TRUCK OF AMERICA INC,"Heavy Duty (GVWR>10,000 lbs)"
CHANCE COACH TRANSIT BUS,"Heavy Duty (GVWR>10,000 lbs)"
FEDERAL MOTORS,"Heavy Duty (GVWR>10,000 lbs)"
PIERCE MFG. INC.,"Heavy Duty (GVWR>10,000 lbs)"
SPARTAN MOTORS,"Heavy Duty (GVWR>10,000 lbs)"
SUTPHEN CORP.,"Heavy Duty (GVWR>10,000 lbs)"
WHITE/GMC,"Heavy Duty (GVWR>10,000 lbs)"
ADVANCE MIXER,"Heavy Duty (GVWR>10,000 lbs)"
DUPLEX,"Heavy Duty (GVWR>10,000 lbs)"
CROWN COACH,"Heavy Duty (GVWR>10,000 lbs)"
KOVATCH,"Heavy Duty (GVWR>10,000 lbs)"
OTTAWA,"Heavy Duty (GVWR>10,000 lbs)"
THOMAS,"Heavy Duty (GVWR>10,000 lbs)"
WINNEBAGO,"Heavy Duty (GVWR>10,000 lbs)"
EMERGENCY ONE,"Heavy Duty (GVWR>10,000 lbs)"
GENESIS TRANSIT BUSES,"Heavy Duty (GVWR>10,000 lbs)"
FLXIBLE TRANSIT BUS,"Heavy Duty (GVWR>10,000 lbs)"
HUMMER,"Heavy Duty (GVWR>10,000 lbs)"
VAN HOOL,"Heavy Duty (GVWR>10,000 lbs)"
EVOBUS,"Heavy Duty (GVWR>10,000 lbs)"
EL DORADO,"Heavy Duty (GVWR>10,000 lbs)"
NEW FLYER,"Heavy Duty (GVWR>10,000 lbs)"
AMERICAN LA FRANCE,"Heavy Duty (GVWR>10,000 lbs)"
ORION BUS,"Heavy Duty (GVWR>10,000 lbs)"
BERING,"Heavy Duty (GVWR>10,000 lbs)"
NOVA BUS CORPORATION,"Heavy Duty (GVWR>10,000 lbs)"
STERLING TRUCK,"Heavy Duty (GVWR>10,000 lbs)"
WORKHORSE CUSTOM CHASSIS,"Heavy Duty (GVWR>10,000 lbs)"
COUNTRY COACH MOTORHOME,"Heavy Duty (GVWR>10,000 lbs)"
CAPACITY OF TEXAS,"Heavy Duty (GVWR>10,000 lbs)"
FORETRAVEL MOTORHOME,"Heavy Duty (GVWR>10,000 lbs)"
IC CORPORATION,"Heavy Duty (GVWR>10,000 lbs)"
WESTERN RV,"Heavy Duty (GVWR>10,000 lbs)"
AUTOCAR LLC,"Heavy Duty (GVWR>10,000 lbs)"
LODAL,"Heavy Duty (GVWR>10,000 lbs)"
UNIMOG,"Heavy Duty (GVWR>10,000 lbs)"
FERRARA FIRE APPARATUS,"Heavy Duty (GVWR>10,000 lbs)"
SPRINTER,"Heavy Duty (GVWR>10,000 lbs)"
KALMAR,"Heavy Duty (GVWR>10,000 lbs)"
BUS & COACH INTL (BCI),"Heavy Duty (GVWR>10,000 lbs)"
INDIANA PHOENIX,"Heavy Duty (GVWR>10,000 lbs)"
TEREX / TEREX ADVANCE,"Heavy Duty (GVWR>10,000 lbs)"
TIFFIN MOTORHOMES INC,"Heavy Duty (GVWR>10,000 lbs)"
TEMSA BUS,"Heavy Duty (GVWR>10,000 lbs)"
TERMINAL INVESTMENT CORP,"Heavy Duty (GVWR>10,000 lbs)"
CATERPILLAR,"Heavy Duty (GVWR>10,000 lbs)"
ALEXANDER DENNIS,"Heavy Duty (GVWR>10,000 lbs)"
RAM,"Heavy Duty (GVWR>10,000 lbs)"
ROSENBAUER AMERICA,"Heavy Duty (GVWR>10,000 lbs)"
BYD COACH AND BUS LLC,"Heavy Duty (GVWR>10,000 lbs)"
GRANDE WEST,"Heavy Duty (GVWR>10,000 lbs)"
PROTERRA,"Heavy Duty (GVWR>10,000 lbs)"
DENNIS EAGLE,"Heavy Duty (GVWR>10,000 lbs)"
ORANGE EV,"Heavy Duty (GVWR>10,000 lbs)"
XOS,"Heavy Duty (GVWR>10,000 lbs)"
AMERICAN MOTORS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,"Light Duty (10,000 lbs GVWR or less)"
DODGE,"Light Duty (10,000 lbs GVWR or less)"
FORD,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,"Light Duty (10,000 lbs GVWR or less)"
JEEP,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,"Light Duty (10,000 lbs GVWR or less)"
GMC,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,"Light Duty (10,000 lbs GVWR or less)"
BMW,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,"Light Duty (10,000 lbs GVWR or less)"
HONDA,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,"Light Duty (10,000 lbs GVWR or less)"
OPEL,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,"Light Duty (10,000 lbs GVWR or less)"
FIAT,"Light Duty (10,000 lbs GVWR or less)"
JAGUAR,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,"Light Duty (10,000 lbs GVWR or less)"
PORSCHE,"Light Duty (10,000 lbs GVWR or less)"
SUZUKI,"Light Duty (10,000 lbs GVWR or less)"
MG,"Light Duty (10,000 lbs GVWR or less)"
SUBARU,"Light Duty (10,000 lbs GVWR or less)"
AUDI,"Light Duty (10,000 lbs GVWR or less)"
HARLEY-DAVIDSON,"Light Duty (10,000 lbs GVWR or less)"
SAAB,"Light Duty (10,000 lbs GVWR or less)"
TRIUMPH MOTORCYCLE,"Light Duty (10,000 lbs GVWR or less)"
JENSEN,"Light Duty (10,000 lbs GVWR or less)"
MAZDA,"Light Duty (10,000 lbs GVWR or less)"
CAPRI,"Light Duty (10,000 lbs GVWR or less)"
TRIUMPH CAR,"Light Duty (10,000 lbs GVWR or less)"
LANCIA,"Light Duty (10,000 lbs GVWR or less)"
ALFA ROMEO,"Light Duty (10,000 lbs GVWR or less)"
FERRARI,"Light Duty (10,000 lbs GVWR or less)"
ISUZU,"Light Duty (10,000 lbs GVWR or less)"
RENAULT,"Light Duty (10,000 lbs GVWR or less)"
ROLLS-ROYCE,"Light Duty (10,000 lbs GVWR or less)"
UNDEFINED,"Light Duty (10,000 lbs GVWR or less)"
UNKNOWN,"Light Duty (10,000 lbs GVWR or less)"
VESPA,"Light Duty (10,000 lbs GVWR or less)"
WANGYE,"Light Duty (10,000 lbs GVWR or less)"
KYMCO USA INC,"Light Duty (10,000 lbs GVWR or less)"
LEIKE MACHINE INDUSTRY CO. LIMITED,"Light Duty (10,000 lbs GVWR or less)"
LOTUS,"Light Duty (10,000 lbs GVWR or less)"
MITSUBISHI,"Light Duty (10,000 lbs GVWR or less)"
BAJAJ,"Light Duty (10,000 lbs GVWR or less)"
MASERATI,"Light Duty (10,000 lbs GVWR or less)"
PEUGEOT,"Light Duty (10,000 lbs GVWR or less)"
WINNEBAGO,"Light Duty (10,000 lbs GVWR or less)"
BENTLEY,"Light Duty (10,000 lbs GVWR or less)"
JOHNNY PAG MOTOR COMPANY,"Light Duty (10,000 lbs GVWR or less)"
LML,"Light Duty (10,000 lbs GVWR or less)"
MERKUR,"Light Duty (10,000 lbs GVWR or less)"
NISSAN,"Light Duty (10,000 lbs GVWR or less)"
QIANJIANG,"Light Duty (10,000 lbs GVWR or less)"
ZERO MOTORCYCLES INC,"Light Duty (10,000 lbs GVWR or less)"
ACURA,"Light Duty (10,000 lbs GVWR or less)"
DUCATI,"Light Duty (10,000 lbs GVWR or less)"
FOSTI,"Light Duty (10,000 lbs GVWR or less)"
